"id","title","year","search_query","description"
"79","A Nightmare on Elm Street","1984","Nightmare on Elm Street 1984 Nancy dragged feet-first into bed Freddy Krueger","A person lies in bed wearing purple bedding in a dimly lit room, appearing to be sleeping or resting. Above them, a large shadowy figure looms menacingly in the darkness, creating an ominous and suspenseful atmosphere. The scene suggests a moment of vulnerability and potential danger, characteristic of a horror or thriller film sequence."
"80","Halloween","1978","Halloween 1978 Jamie Lee Curtis hides closet Michael Myers breaks through door","A person wearing a Michael Myers mask looks upward in what appears to be an indoor setting, possibly a hallway or stairwell. The figure is dressed in dark clothing and the lighting creates an eerie, suspenseful atmosphere typical of horror film cinematography. This appears to be a scene from the ""Halloween"" franchise, capturing the iconic killer in a moment of menacing stillness."
"81","The Descent","2005","The Descent 2005 women crawl rock passage collapses cave","A man with a beard, wearing dark clothing and what appears to be tactical gear, is positioned low to the ground in a confined, dusty space with brown walls. He appears to be in an action sequence, possibly crawling through or navigating a tight underground passage or debris-filled area. His intense facial expression and body positioning suggest he is engaged in a tense, high-stakes moment."
"82","127 Hours","2010","127 Hours 2010 James Franco cuts through own arm dull knife canyon","A man is trapped between two narrow canyon walls, struggling to free himself from the immense boulders pinning his arm in a life-or-death situation. The film depicts the true story of mountaineer Aron Ralston's harrowing ordeal as he fights for survival in the Utah wilderness. This gripping survival drama stars James Franco and chronicles Ralston's remarkable 127-hour battle against nature as he uses his wits and determination to escape his predicament and return to civilization."
"83","Touching the Void","2003","Touching the Void 2003 Joe Simpson crawls glacier crevasse broken leg alone","A climber in winter gear hangs precariously from an icy cliff face high above snow-covered mountains, fighting against harsh weather conditions and the extreme elements of high-altitude mountaineering. The figure clings to the frozen rock wall with determination, showcasing the intense physical and mental challenge of alpine climbing in one of the world's most treacherous environments. The dramatic composition captures the stark contrast between the solitary climber and the vast, unforgiving landscape of peaks and clouds surrounding them."
"84","Everest","2015","Everest 2015 climbers trapped bivouac 28000 feet sudden blizzard","A group of rescue workers and emergency personnel gather at night in a snowy, rocky environment, appearing to be conducting a rescue or recovery operation. Several people in winter clothing and protective gear are positioned around what appears to be a mountainous or disaster site, with some individuals illuminated by lighting equipment. The scene suggests an urgent, coordinated emergency response effort taking place in harsh winter conditions."
"85","Free Solo","2018","Free Solo 2018 Alex Honnold climbs sheer face El Capitan no rope","A rock climber in a bright pink and black outfit scales a challenging overhang on a massive boulder, gripping the textured stone surface with intense focus. The climber demonstrates impressive strength and technique as they navigate the difficult angle of the rock face, with their body extended away from the wall. The natural outdoor setting shows the raw, weathered granite formation against which this athletic feat is being performed."
"86","The Walk","2015","The Walk 2015 Joseph Gordon-Levitt wire walks between Twin Towers wind","A solitary figure in a dark jacket stands at the edge of a high observation deck, gazing out over a sprawling cityscape far below. The vantage point appears to be from one of the world's tallest buildings, with modern architectural elements visible in the foreground and the vast urban landscape stretching to the horizon. The person's contemplative stance suggests a moment of reflection while taking in the breathtaking aerial view of the metropolitan area."
"87","Vertigo","1958","Vertigo 1958 James Stewart clings rooftop gutter dangling San Francisco street","A man wearing a fedora and dark coat stands on a rooftop at dusk, gripping the cables of what appears to be a makeshift swing or pulley system. Behind him, the silhouette of a sprawling city skyline fills the twilight sky with illuminated windows in tall buildings. The scene captures a moment of urban solitude against the backdrop of a metropolitan landscape during the blue hour."
"88","North by Northwest","1959","North by Northwest 1959 Cary Grant chased open farmland crop-dusting plane","A man in a suit runs across a barren, rocky landscape while a biplane approaches from behind, flying dangerously low. The aircraft appears to be pursuing or about to strike the fleeing figure, creating a tense moment of danger. This iconic scene captures a classic moment of suspense from early cinema, with the stark black and white photography emphasizing the dramatic action unfolding in the desolate terrain."
"89","North by Northwest","1959","North by Northwest 1959 Cary Grant Eva Marie Saint dangle Mount Rushmore face","Two men stand in profile against a stark black background, their faces carved in stone-like detail showing intense, determined expressions. The larger figure looms in the background while a smaller figure is positioned in the foreground, both appearing monumental and heroic in their sculptural quality. The dramatic lighting and contrast create a powerful, almost mythic atmosphere suggesting themes of ambition, conflict, or historical significance."
"90","Ben-Hur","1959","Ben-Hur 1959 Charlton Heston crushed between chariots Circus Maximus race","A charioteer drives a team of four white horses pulling an ornate golden chariot across an arena floor shrouded in dust, while crowds of spectators watch from behind the brick walls of what appears to be a Roman amphitheater. The scene captures the intensity and grandeur of ancient chariot racing, with the driver leaning forward in concentration as the powerful horses gallop in synchronized motion. The massive audience fills the upper levels of the structure, creating an atmosphere of anticipation and excitement typical of a major sporting event in classical antiquity."
"91","Gladiator","2000","Gladiator 2000 Russell Crowe fights tiger armored gladiator Colosseum","In a grand Roman amphitheater filled with thousands of spectators, a fierce gladiator battle unfolds as two warriors face off against a tiger in the arena. The gladiator on the left, adorned in ornate armor with a wolf-head helmet, confronts the dangerous beast while his opponent on the right prepares for combat with shield and sword raised. The roaring crowds in the tiered seats above watch intensely as the deadly spectacle plays out on the sandy arena floor, with attendants in yellow tunics visible in the background ensuring the show proceeds."
"92","The Lord of the Rings The Two Towers","2002","Lord of the Rings Two Towers 2002 Frodo nearly falls Mount Doom lava pit","A dark figure stands on a rocky cliff overlooking a dramatic volcanic landscape engulfed in flames and smoke, with a massive cone-shaped volcano erupting in the distance against an orange and turbulent sky. Lightning bolts crack across the apocalyptic scene while a tall tower or structure burns on the left side of the horizon, creating an intense and ominous atmosphere. The desolate terrain below is shrouded in mist and shadow, emphasizing the scale of destruction and the lone observer's small presence before this cataclysmic event."
"93","The Lord of the Rings The Fellowship of the Ring","2001","Lord of the Rings Fellowship 2001 Gandalf hangs Bridge Khazad-dum Balrog drags him down","A gritty, dark scene shows a weathered character in tattered clothing crouching or sitting in a dimly lit underground or cave-like environment. The figure appears to be holding a weapon or tool, with an intense, desperate expression reflecting the harsh conditions around them. The atmosphere is ominous and survival-focused, suggesting a moment of tension or danger in what appears to be a post-apocalyptic or primitive setting."
"94","Harry Potter and the Chamber of Secrets","2002","Harry Potter Chamber of Secrets 2002 Harry Ron dangle Whomping Willow night","A colossal alien creature emerges from the misty darkness, its massive silhouette dominating the nighttime cityscape below. The towering extraterrestrial being looms menacingly over illuminated buildings and streets, creating an atmosphere of impending invasion and catastrophe. The scene captures a moment of alien arrival or attack, with the creature's enormous form casting an ominous shadow across the urban landscape shrouded in fog and dim lighting."
"95","The Hunger Games","2012","Hunger Games 2012 Katniss cornered tree Career tributes tracker jacker nest below","A figure stands silhouetted against a large tree trunk, reaching upward along a thick branch in a dense forest canopy. The scene captures a moment of exploration or struggle, with dappled sunlight filtering through the green foliage above, creating a dramatic contrast between the dark figure and the bright sky. The composition emphasizes the scale and power of nature, with the towering tree and its gnarled branches framing the solitary human form engaged in some form of physical interaction with the natural environment."
"96","Avatar","2009","Avatar 2009 Jake Sully hanging Thanator jaw Pandora floating mountains","A blue-skinned Na'vi rides atop a large dark flying creature through a lush, verdant forest filled with towering trees and dense vegetation. The rider grips the creature's body as they move swiftly through the misty, green-tinted jungle landscape of Pandora. This appears to be a scene from Avatar, showcasing the bond between the Na'vi and their flying mounts in their natural forest habitat."
"97","King Kong","2005","King Kong 2005 Naomi Watts held King Kong fist Empire State Building under fire","A woman with curly blonde hair stands confidently with her hand on her hip, wearing a white sleeveless top against a dramatic backdrop of a sprawling cityscape with numerous tall buildings. The scene appears to be from a high vantage point overlooking a major metropolitan area, creating a sense of scale and grandeur. Her composed expression and posture suggest a moment of triumph or contemplation as she surveys the urban landscape below her."
"98","Schindler's List","1993","Schindler's List 1993 Jewish prisoners packed cattle cars armed guards winter","# Description A solitary child in a distinctive red coat walks through a street lined with armed soldiers in dark uniforms and helmets during what appears to be a military operation or occupation. The contrast between the small figure in bright red and the imposing gray-toned crowd of armed personnel creates a striking visual composition. The scene conveys a sense of vulnerability and isolation amid an overwhelming military presence."
"99","Parasite","2019","Parasite 2019 Parks family trapped flooding house water rises ceiling","In this scene from the film Parasite, a man in dark clothing stands prominently on a manicured lawn in front of a modern glass and concrete house, his eyes covered by a black bar. Behind him, multiple figures are positioned around the luxurious property-one person reclines on a lounge chair with a drink, another stands in a doorway, and others are visible in the background near the contemporary architecture. The composition captures a tense moment that juxtaposes the wealth and leisure of the house's inhabitants with an underlying sense of intrusion and class conflict."
"100","Everything Everywhere All at Once","2022","Everything Everywhere All at Once 2022 Evelyn Wong rooftop ledge IRS agents everything bagel pulls her","Three women stand together in an indoor setting with warm lighting in the background. The woman in the center, wearing a burgundy quilted vest over a patterned shirt, appears to be the focus of attention as the other two women flank her on either side. Their expressions and body language suggest they are engaged in an intense or dramatic moment, possibly discussing something serious or concerning."
